Nro,Codigo_SNIP,Proyecto,PROVINCIA,SECTOR,UF,Ejecutora,Monto_Viabilidad,Fecha_Viabilidad
1,306736,"MEJORAMIENTO DEL SERVICIO DE EDUCACION INICIAL DE LA I.E. N 1725 DEL CENTRO POBLADO VILLA SAN ISIDRO, DISTRITO DE GUADALUPE, PROVINCIA DE PACASMAYO - REGION LA LIBERTAD",PACASMAYO,EDUCACION,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",1084737.82,"03/02/2015 12:00:00 a.m."
2,306527,"MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN PRIMARIA EN LA I.E. N 80409 DEL DISTRITO DE PUEBLO NUEVO, PROVINCIA DE CHEPÉN, REGIÓN LA LIBERTAD",CHEPEN,EDUCACION,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",4911343,"03/03/2015 12:00:00 a.m."
3,302330,"MEJORAMIENTO DEL SERVICIO DE AGUA PARA RIEGO DEL CANAL DE RIEGO SANTA ROSA, DISTRITO DE PUEBLO NUEVO, PROVINCIA DE CHEPEN - DEPARTAMENTO DE LA LIBERTAD.",CHEPEN,AGRARIA,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",7734760,"26/03/2015 12:00:00 a.m."
4,297962,"MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN PRIMARIA Y SECUNDARIA DE LA I.E. N 81034 JOSÉ MARÍA ARGUEDAS, DISTRITO DE TAYABAMBA, PROVINCIA DE PATAZ - REGION LA LIBERTAD",PATAZ,EDUCACION,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",8274887,"26/03/2015 12:00:00 a.m."
5,319185,"MEJORAMIENTO DEL SERVICIO DE EDUCACION PRIMARIA EN LA INSTITUCION EDUCATIVA N 81011 ANTONIO RAIMONDI, DISTRITO Y PROVINCIA DE TRUJILLO, REGIÓN LA LIBERTAD.",TRUJILLO,EDUCACION,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",9023898,"05/05/2015 12:00:00 a.m."
6,306104,"MEJORAMIENTO DEL SERVICIO DE EDUCACION EN EL INSTITUTO SUPERIOR TECNOLOGICO PUBLICO OTUZCO, DISTRITO DE OTUZCO, PROVINCIA DE OTUZCO, REGION LA LIBERTAD",OTUZCO,EDUCACION,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",6642217,"17/06/2015 12:00:00 a.m."
7,290591,"MEJORAMIENTO DEL CAMINO VECINAL DESVIO DE MARKAHUAMACHUCO - SANAGORAN - DISTRITO DE HUAMACHUCO Y SANAGORAN - PROVINCIA DE SANCHEZ CARRION - LA LIBERTAD","SANCHEZ CARRION",TRANSPORTES,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",28787025,"23/06/2015 12:00:00 a.m."
8,322064,"INSTALACION DE LOS SERVICIOS DE EDUCACION INICIAL ESCOLARIZADA EN LOS CENTROS POBLADOS EL MILAGRO - TUPAC AMARU II - ALTO TRUJILLO BARRIO 3B - ALTO TRUJILLO BARRIO 3C - MIGUEL GRAU SECTOR HAYA DE LA TORRE III ETAPA - MIGUEL GRAU BARRIO KUMAMOTO DE LOS DISTRITOS DE HUANCHACO Y EL PORVENIR, PROVINCIA DE TRUJILLO - LA LIBERTAD",TRUJILLO,EDUCACION,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",13738560,"07/07/2015 12:00:00 a.m."
9,319175,"INSTALACION DE LOS SERVICIOS DE EDUCACION INICIAL ESCOLARIZADA EN LOS CENTROS POBLADOS LAS CAPILLAS, SEGUNDO ISMAEL CARRANZA Y SANTA ELENA DE LOS DISTRITOS DE CALAMARCA Y HUASO, PROVINCIA DE JULCAN - REGION LA LIBERTAD",JULCAN,EDUCACION,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",4224882,"17/07/2015 12:00:00 a.m."
10,317222,"MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN DEL NIVEL INICIAL DE LA I.E. N 1774 DEL CENTRO POBLADO SANTA ROSA, DISTRITO DE LAREDO, PROVINCIA DE TRUJILLO, REGIÓN LA LIBERTAD",TRUJILLO,EDUCACION,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",2535855,"03/08/2015 12:00:00 a.m."
11,252046,"MEJORAMIENTO DE LOS SERVICIOS DE AGUA PARA RIEGO EN LOS DISTRITOS DE HUARANCHAL - PROVINCIA DE OTUZCO; CHICAMA - PROVINCIA DE ASCOPE; LUCMA, MARMOT, SAYAPULLO Y CASCAS - PROVINCIA DE GRAN CHIMÚ, EN EL DEPARTAMENTO DE LA LIBERTAD","GRAN CHIMU",AGRARIA,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",34159689,"19/08/2015 12:00:00 a.m."
12,331039,"MEJORAMIENTO DE LA CAPACIDADAD RESOLUTIVA  DE LA UNIDAD DE ATENCION MEDICA PERIODICA DEL CENTRO DE SALUD CHOCOPE DEL DISTRITO DE CHOCOPE,PROVINCIA DE ASCOPE- LA LIBERTAD",ASCOPE,SALUD,"OFICINA DE PLANIFICACION DE LA GERESA",MINSA,299256,"11/09/2015 12:00:00 a.m."
13,331059,"MEJORAMIENTO DE LA CAPACIDADAD RESOLUTIVA  DEL CENTRO REFERENCIAL DE INFECCIONES DE TRANSMISION  SEXUAL,  DEL HOSPITAL REGIONAL DOCENTE DE TRUJILLO LA LIBERTAD",TRUJILLO,SALUD,"OFICINA DE PLANIFICACION DE LA GERESA",MINSA,149002,"11/09/2015 12:00:00 a.m."
14,322203,"CREACION DE LOS SERVICIOS DE EDUCACIÓN INICIAL ESCOLARIZADA EN LOS CENTROS POBLADOS ALTO SHAMANO, CRUZ DE BENDICIÓN, ISOGOCHA, LOS PAREDONES Y NUEVA ESPERANZA DE LOS DISTRITOS DE HUAMACHUCO Y SARÍN, PROVINCIA DE SÁNCHEZ CARRIÓN - REGIÓN LA LIBERTAD","SANCHEZ CARRION",EDUCACION,"UNIDAD FORMULADORA REGIONAL LA LIBERTAD","REGION LA LIBERTAD-SEDE CENTRAL",8293017,"30/09/2015 12:00:00 a.m."
